source_node,target_gene_id,evidence_type,direction,context,source_id,source_url,evidence_note,admission_status
RIN,Solyc01g095080,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit,PMC3039564;GSE40257,https://pmc.ncbi.nlm.nih.gov/articles/PMC3039564/,RIN occupancy at the LeACS2 promoter was tested by ChIP-qPCR; binding is retained without inferring activation magnitude in this project,admitted
SlJMJ6,Solyc08g005770,chromatin_binding_h3k27me3_loss_and_upregulation,reported_activation_in_overexpression_context,SlJMJ6_overexpression_tomato_fruit,GSE142714;Li2020,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.16590/,The source reports SlJMJ6 association with AAT1 chromatin together with reduced H3K27me3 and increased expression in overexpression fruit; scope is retained exactly as this perturbation context,admitted
RIN,Solyc03g114360,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc10g006880,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc02g084600,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc03g082560,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc08g080630,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc02g083380,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc02g088270,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc07g042390,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc07g063600,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc10g079050,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc04g080250,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc03g118060,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc01g066740,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc08g005770,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc01g109920,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc06g068900,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc06g051800,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
